date,state,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage
20200523,OK,,0
20200506,NH,,0
20201105,KY,312,124
20200329,MN,,0
20200717,MO,49,96
20200407,CT,,0
20200629,CA,,0
20200325,WV,,0
20201112,NC,184,131
20200924,WA,24,101
20200728,TN,160,110
20201120,VT,3,16
20200816,TX,553,543
20200729,OR,13,38
20201016,TN,153,135
20200626,NE,1,15
20200425,KY,,0
20200602,ND,,0
20200420,RI,0,1
20200808,SD,16,41
20200621,VA,,0
20200318,CA,,0
20201120,AR,130,112
20201030,KS,113,148
20201031,AK,12,23
20200929,AL,113,113
20200911,KY,468,112
20200924,NC,85,127
20200621,ID,,0
20200503,KY,,0
20200711,NH,,0
20201012,AR,96,101
20200518,OH,,0
20200517,CA,,0
20200715,WI,78,106
20200505,FL,,0
20200823,RI,7,14
20200404,SD,,0
20200716,DC,11,6
20200502,UT,,0
20200718,SC,113,52
20200717,SC,102,51
20200619,VA,,0
20201028,SD,76,65
20200403,NH,,0
20201005,NC,111,127
20201202,NE,111,101
20200317,ME,,0
20200812,MI,63,133
20200926,NJ,26,95
20200814,DC,12,13
20200726,MD,57,33
20200824,TN,93,121
20201001,HI,7,30
20200329,CT,,0
20200715,IL,65,74
20200526,GA,,0
20200509,MS,,0
20200628,AZ,29,17
20200920,LA,67,192
20200508,MN,,0
20200618,PR,,0
20201113,NC,186,131
20201031,GA,289,169
20200510,NJ,,0
20200426,NY,0,1
20200828,ME,2,34
20200716,WY,0,27
20200913,IN,59,146
20200503,NY,0,1
20200511,FL,,0
20201001,WI,141,141
20201008,OK,171,148
20200515,AK,,0
20200815,PR,25,59
20200501,OH,,0
20201108,AK,10,24
20201121,VA,135,108
20200902,WY,9,27
20201010,SD,56,64
20200619,CA,,0
20201117,MI,480,160
20200425,DC,,0
20200423,SD,,0
20200421,MI,,0
20200911,IA,53,123
20201108,TX,807,584
20200810,IA,43,123
20201116,IA,213,122
20201126,VA,170,108
20200428,HI,0,11
20200511,WY,,0
20200326,AK,,0
20200720,WV,5,31
20201012,ID,22,50
20200605,KY,,0
20200516,DE,,0
20201021,UT,51,57
20200322,VT,,0
20201015,NE,46,96
20201115,KY,352,124
20200506,DE,,0
20200325,IN,,0
20200818,NY,87,167
20200316,ME,,0
20200626,IL,,0
20201027,ME,3,37
20201019,IN,191,148
20200822,MO,114,139
20201027,NM,51,51
20200530,UT,,0
20200501,VA,,0
20200926,KS,59,144
20201019,CT,23,33
20200604,GA,,0
20200929,NE,30,91
20200423,GA,,0
20200417,MN,,0
20200820,NE,9,79
20200601,AK,,0
20200319,MO,,0
20200729,IN,61,92
20200528,SD,,0
20201202,TX,1194,584
20200317,AR,,0
20200415,ND,,0
20200511,MO,,0
20201128,VA,164,108
20201029,WY,24,28
20200808,MI,41,134
20201017,SD,49,65
20200501,DC,,0
20201129,KS,165,150
20200727,VI,1,2
20200928,IN,125,151
20200519,KS,,0
20200727,SC,161,57
20200922,AR,76,102
20200530,FL,,0
20200504,ID,,0
20200831,NY,62,168
20200402,MS,,0
20200405,DC,,0
20200925,PA,59,216
20200803,HI,8,20
20201014,IN,120,155
20200929,MN,55,130
20200720,AK,2,9
20201109,CT,78,31
20200803,KS,34,86
20200601,NC,,0
20200331,TX,,0
20200924,NY,113,175
20200812,WA,24,72
20200704,TX,,0
20201125,MA,117,103
20201203,PA,707,228
20200927,CA,282,399
20200801,SD,3,37
20200823,AZ,83,104
20200615,NJ,,0
20200826,NV,40,61
20200426,MN,,0
20201105,NE,104,98
20200721,MN,1,27
20200719,NH,1,17
20201026,AK,10,23
20200729,WY,8,26
20200624,MI,,0
20200928,DE,12,14
20200810,NV,54,61
20201023,DE,8,16
20201030,VT,0,17
20200522,OR,,0
20200724,FL,814,225
20201129,OH,671,226
20201102,ME,5,37
20200617,IL,,0
20200627,OH,,0
20200509,VA,,0
20200531,AL,,0
20200411,ME,,0
20201127,NH,15,30
20200929,MA,35,102
20201107,IN,294,160
20200522,VI,,0
20200510,IL,,0
20200703,CA,,0
20201022,CA,350,418
20201014,TX,654,577
20200317,NY,,0
20200825,OK,74,127
20200814,MI,57,143
20200403,CO,,0
20200829,GA,218,146
20200513,IL,,0
20200511,NM,,0
20200624,MN,,0
20200430,IL,,0
20201021,OH,230,218
20200422,TN,,0
20200426,CT,,0
20200927,NH,5,30
20200326,AR,,0
20201020,MT,72,67
20200810,TX,585,539
20200926,OK,108,139
20200618,IL,,0
20200313,MI,,0
20200406,TX,,0
20200925,MN,54,130
20200510,MD,,0
20200605,WA,,0
20200823,UT,5,54
20201020,MO,182,134
20201122,TX,1075,585
20200617,DE,,0
20200920,NV,42,61
20200406,SD,,0
20200811,TX,613,541
20200716,MD,46,23
20200605,NM,,0
20200822,WV,11,63
20200707,DC,,0
20201031,WY,22,30
20200818,MA,20,81
20200611,NE,0,1
20201007,IN,118,148
20200430,AZ,36,17
20200413,AZ,,0
20201109,NV,87,59
20200706,WI,,0
20200405,FL,,0
20200316,KS,,0
20200326,PR,,0
20200930,RI,5,15
20201123,WA,84,97
20200727,IN,9,20
20200814,WI,83,138
20200722,OK,53,49
20201112,SD,81,65
20200411,KS,,0
20201118,AR,138,111
20200914,GA,150,148
20200401,MS,,0
20200724,WA,28,58
20200405,TX,,0
20200508,ND,,0
20200926,CA,324,399
20200708,MO,,0
20200405,PR,,0
20200802,CO,44,78
20200528,WY,,0
20200806,NC,133,116
20200830,DE,13,12
20200619,OK,,0
20200724,OK,72,59
20201006,MT,43,66
20200526,NH,,0
20201111,PA,318,222
20200421,NV,,0
20200423,AK,,0
20201022,OK,232,152
20201001,AL,119,112
20201005,DE,9,15
20200701,NH,,0
20200918,WV,17,63
20201106,ME,8,39
20200403,TX,,0
20200527,MT,,0
20200926,WV,11,64
20200614,PA,,0
20200416,TN,,0
20201015,TX,663,580
20200424,NC,,0
20200413,TN,,0
20200609,VI,,0
20200320,PR,,0
20200326,MI,,0
20200419,DE,,0
20201110,ME,9,37
20200909,ME,0,36
20200415,SC,,0
20201106,CT,65,32
20200515,SD,,0
20200612,UT,,0
20200517,VA,,0
20200919,PA,51,213
20200820,VA,53,87
20200917,OH,93,211
20200910,NE,12,86
20200819,RI,10,14
20200617,VA,,0
20200808,KY,133,99
20200728,MT,16,24
20200828,CA,416,377
20201030,OK,199,153
20200827,GA,260,144
20200425,NH,,0
20201130,GA,371,154
20200721,CA,568,232
20200714,MO,,0
20201126,DE,32,16
20200508,ID,,0
20201127,PR,30,66
20201026,OH,176,205
20201010,MO,141,140
20200502,ND,,0
20201025,VA,65,107
20200812,DC,18,13
20200621,SC,,0
20200415,FL,,0
20200917,UT,30,57
20200422,HI,0,10
20201129,UT,88,59
20200612,KY,,0
20200711,WV,,0
20200620,OH,,0
20200804,OR,13,45
20200509,GA,,0
20200517,MO,,0
20201116,NE,135,99
20200318,MD,,0
20200623,WV,,0
20200511,MD,,0
20201028,MS,94,105
20200916,WA,31,100
20200714,VA,,0
20200428,KS,,0
20201122,ID,58,51
20200622,WA,,0
20200716,AZ,172,64
20200925,IN,84,151
20200703,WA,,0
20200719,VT,6,8
