previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,TotalDeaths
,,,0,0,0,AR20200522,20200522,AR,nan,14,113
0,,,13,0,0,HI20200610,20200610,HI,nan,,17
0,0,0,17,17,17,VT20201018,20201018,VT,nan,,58
36,378,,105,105,0,LA20200521,20200521,LA,nan,107,2506
,,,0,0,0,OK20200318,,,,,
,,,0,0,0,PA20200330,20200330,PA,nan,,48
183,1146,263,60,60,60,MD20201119,20201119,MD,260,,4220
,,,0,0,0,MI20200420,20200420,MI,nan,,2468
,,,0,0,0,VA20200622,20200622,VA,240,132,1620
97,570,167,82,80,79,SC20201008,20201008,SC,191,94,3530
,,,0,0,0,IL20200411,20200411,IL,nan,,677
2,7,0,39,39,38,ME20201021,20201021,ME,0,0,146
,,,0,0,0,MN20200614,20200614,MN,186,,1298
41,80,23,2,10,10,DC20200727,20200727,DC,20,8,582
,,,0,0,0,ID20200313,,,,,
,,,0,0,0,WA20200627,20200627,WA,nan,58,1310
6,40,7,16,27,27,MN20200723,20200723,MN,107,,1561
107,684,172,98,98,98,NE20201104,20201104,NE,nan,,669
7,43,10,14,15,13,MT20200718,20200718,MT,nan,,37
102,675,185,211,199,194,OH20200929,20200929,OH,184,98,4783
,,,0,0,0,IL20200428,20200428,IL,1245,778,2125
164,782,205,141,138,138,WI20201004,20201004,WI,194,,1377
,,,0,0,0,WI20200617,20200617,WI,94,,712
,,,0,0,0,MO20200612,20200612,MO,nan,69,872
479,5026,1766,550,535,530,TX20200821,20200821,TX,nan,,11051
,6,2,0,1,1,IA20200529,20200529,IA,118,69,525
,,,0,0,0,MO20200619,20200619,MO,nan,66,948
108,531,205,139,139,138,OK20200926,20200926,OK,206,,1004
13,75,12,21,17,13,HI20200731,20200731,HI,nan,,26
,,,0,0,0,MN20200425,20200425,MN,109,,244
56,581,101,121,133,119,NY20200809,20200809,NY,131,66,25202
1,3,3,16,16,16,VT20201102,20201102,VT,3,,58
172,868,242,120,120,120,AZ20201107,20201107,AZ,249,137,6147
112,780,274,127,121,120,NC20200925,20200925,NC,281,,3409
79,1269,302,192,209,213,LA20200823,20200823,LA,nan,152,4605
,,,0,0,0,WV20200622,20200622,WV,5,2,90
,,,0,0,0,AL20200601,20200601,AL,nan,,644
,0,,0,13,0,OK20200615,20200615,OK,58,,359
0,1,0,2,2,2,VI20201122,,,,,
107,895,219,101,101,101,NE20201128,20201128,NE,nan,,989
104,711,185,98,98,98,NE20201105,20201105,NE,nan,,674
148,462,138,114,109,106,KY20201002,20201002,KY,133,,1197
2,11,5,39,37,35,ME20201015,20201015,ME,5,1,144
118,754,263,148,140,141,IN20201007,20201007,IN,334,101,3500
39,283,96,99,114,111,MI20200728,20200728,MI,211,135,6170
27,60,,15,16,0,AZ20200509,20200509,AZ,296,186,532
146,1010,205,178,171,163,NY20201015,20201015,NY,197,95,25618
,,,0,0,0,IN20200426,20200426,IN,589,311,813
818,5935,1755,580,580,580,TX20201103,20201103,TX,nan,,18194
,,,0,0,0,NJ20200626,20200626,NJ,236,200,13060
0,13,3,17,45,25,NE20200701,20200701,NE,nan,,276
,,,0,0,0,MA20200402,20200402,MA,nan,,154
97,699,219,108,108,108,AR20201108,20201108,AR,nan,103,2085
,,,0,0,0,AZ20200329,20200329,AZ,nan,,17
,,,0,0,0,MN20200321,20200321,MN,4,,1
196,1042,246,53,53,53,MD20201117,20201117,MD,255,,4186
32,143,36,53,50,43,KS20200715,20200715,KS,111,21,299
,,,0,0,0,IA20200310,,,,,
48,243,,10,11,0,AZ20200706,20200706,AZ,839,533,1810
15,93,16,13,13,10,DC20200806,20200806,DC,23,12,587
,,,0,0,0,NH20200407,20200407,NH,nan,,13
9,79,9,13,13,13,RI20200814,20200814,RI,8,3,1021
199,693,219,112,111,111,KY20201020,20201020,KY,202,,1342
85,925,287,133,130,128,TN20201004,20201004,TN,249,116,2577
101,1012,256,97,97,97,VA20201116,20201116,VA,263,118,3806
,,,0,0,0,FL20200521,20200521,FL,nan,,2144
47,674,,116,116,0,LA20200503,20200503,LA,nan,213,1969
,,,0,0,0,PA20200612,20200612,PA,nan,191,6162
46,309,66,65,63,62,SD20201019,20201019,SD,nan,,323
72,400,117,133,133,132,WI20200813,20200813,WI,109,,1018
,,,0,0,0,VT20200706,20200706,VT,nan,,56
161,1063,259,149,149,149,KS20201122,20201122,KS,269,109,1410
,,,0,0,0,ND20200325,20200325,ND,nan,,0
59,409,78,65,65,65,SD20201030,20201030,SD,nan,,415
,,,0,0,0,ME20200625,20200625,ME,10,7,103
,,,0,0,0,NH20200621,20200621,NH,nan,,339
469,4591,1427,389,394,371,CA20200823,20200823,CA,1441,,12134
87,586,109,167,140,129,NY20200818,20200818,NY,126,60,25264
,,,0,0,0,VA20200616,20200616,VA,241,125,1570
8,184,36,36,45,44,ID20200810,20200810,ID,36,,239
26,80,22,41,25,23,MT20200825,20200825,MT,nan,,97
12,84,18,31,31,31,WY20201022,20201022,WY,nan,,68
,,,0,0,0,KY20200407,20200407,KY,nan,,65
0,0,0,1,1,1,RI20200418,20200418,RI,67,43,137
,,,0,0,0,MT20200520,20200520,MT,nan,,16
,,,0,0,0,MD20200503,20200503,MD,565,,1182
63,399,109,80,80,80,MA20201103,20201103,MA,96,51,10035
,,,0,0,0,MD20200326,20200326,MD,nan,,4
,,,0,0,0,IL20200714,20200714,IL,401,185,7218
,,,0,0,0,WY20200405,20200405,WY,nan,,0
,,,0,0,0,VI20200627,,,,,
,,,0,0,0,IN20200321,20200321,IN,nan,,4
140,851,206,99,99,99,NE20201110,20201110,NE,nan,,730
0,985,300,61,61,60,NV20200725,20200725,NV,314,180,732
517,2371,474,149,149,149,WI20201118,20201118,WI,428,,2793
,,,0,0,0,MD20200708,20200708,MD,136,,3149
77,592,116,134,132,121,NY20200813,20200813,NY,124,56,25218
175,895,362,116,118,114,NC20200726,20200726,NC,350,,1785
53,282,93,57,51,45,UT20201014,20201014,UT,97,,527
,,,0,0,0,MA20200623,20200623,MA,181,112,7890
,,,0,0,0,DC20200422,20200422,DC,nan,76,127
28,385,,118,118,0,LA20200530,20200530,LA,nan,84,2680
,,,0,0,0,NH20200417,20200417,NH,nan,,37
15,77,27,27,28,26,NM20200805,20200805,NM,nan,,667
,0,,0,27,0,OK20200618,20200618,OK,76,,366
,,,0,0,0,MN20200315,20200315,MN,nan,,
713,4571,1181,410,408,407,CA20201118,20201118,CA,1086,,18360
89,1150,196,213,222,222,LA20201028,20201028,LA,nan,80,5676
94,630,194,105,105,105,AR20201029,20201029,AR,nan,100,1894
47,264,89,99,89,77,AZ20200927,20200927,AZ,116,59,5622
,,,0,0,0,AZ20200618,20200618,AZ,540,341,1271
,,,0,0,0,DC20200430,20200430,DC,nan,92,224
330,2231,614,399,392,382,CA20201010,20201010,CA,612,,16500
,,,0,0,0,MS20200515,20200515,MS,172,81,493
,,,0,0,0,VI20200515,,,,,
0,0,0,1,1,1,RI20200712,20200712,RI,4,5,976
,,,0,0,0,WY20200503,20200503,WY,nan,,7
32,15,5,30,27,27,NH20200820,20200820,NH,nan,,428
,,,0,0,0,OH20200401,20200401,OH,nan,,65
