previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,TotalDeaths
85,471,199,132,131,129,OK20200903,20200903,OK,193,,835
5,71,24,39,39,39,ME20210228,20210228,ME,24,8,703
245,2348,479,108,108,108,VA20210102,20210102,VA,557,335,5117
22,180,44,13,13,13,DC20201129,20201129,DC,42,21,680
4,12,2,17,17,17,VT20210509,20210509,VT,2,,249
28,185,46,122,122,122,IA20210329,20210329,IA,45,11,5729
50,398,57,11,11,11,DE20201214,20201214,DE,50,,816
258,3061,738,112,112,112,TN20210110,20210110,TN,747,436,7785
4,61,20,50,50,50,ND20210509,20210509,ND,7,,1499
81,786,203,63,63,63,WV20210115,20210115,WV,195,102,1733
28,172,50,108,108,108,MS20210429,20210429,MS,48,26,7195
24,199,64,55,54,54,NM20210228,20210228,NM,nan,,3716
17,237,52,66,66,66,PR20200925,,,,,
107,1031,273,69,69,69,SC20210215,20210215,SC,301,173,8055
5,61,14,50,50,50,ND20210224,20210224,ND,5,,1440
170,1351,378,166,166,166,IN20210130,20210130,IN,387,213,9592
2224,20464,4586,419,418,418,CA20210101,20210101,CA,4525,,25971
7,61,13,102,102,102,NE20210602,20210602,NE,nan,,2249
279,1689,362,149,147,147,WI20201206,20201206,WI,325,,3719
791,6704,1352,228,228,228,PA20201216,20201216,PA,1238,740,13168
1834,13753,3033,417,415,415,CA20201213,20201213,CA,2820,,20969
41,399,108,219,222,222,LA20210329,20210329,LA,nan,62,10122
0,7,2,2,2,2,VI20200905,,,,,
70,551,189,96,96,96,CO20210222,20210222,CO,nan,,5893
97,785,182,63,63,63,WV20201222,20201222,WV,175,75,1171
110,1019,240,187,187,187,IL20210301,20210301,IL,308,148,20536
39,285,103,104,104,104,AL20210524,20210524,AL,nan,,11112
506,3742,892,104,104,104,AZ20210126,20210126,AZ,1028,687,12448
80,681,183,63,63,63,WV20210121,20210121,WV,167,88,1849
247,2388,632,114,114,114,TN20201130,20201130,TN,605,303,4602
461,2814,701,101,101,101,AZ20201208,20201208,AZ,744,487,6973
4,26,3,17,17,17,VT20210330,20210330,VT,2,,225
5,44,10,65,65,65,SD20210314,20210314,SD,nan,,1912
47,346,76,52,52,52,ID20210107,20210107,ID,76,,1517
64,489,128,69,69,69,SC20210413,20210413,SC,144,65,9304
0,3,0,2,2,2,VI20210225,,,,,
13,52,16,66,66,66,MT20210323,20210323,MT,nan,,1419
269,1927,459,205,205,205,IL20210421,20210421,IL,521,237,21722
10,198,53,39,39,39,ME20201223,20201223,ME,46,19,311
212,997,241,149,147,147,WI20210116,20210116,WI,227,,5450
176,1048,242,415,415,415,CA20210604,20210604,CA,260,,62179
23,172,39,65,65,65,OR20210226,20210226,OR,34,15,2206
67,681,190,105,105,105,VA20210502,20210502,VA,218,129,10791
51,452,122,140,140,140,MO20210404,20210404,MO,125,79,8504
44,359,81,220,223,223,LA20210503,20210503,LA,nan,38,10393
230,1765,360,87,87,87,SC20201231,20201231,SC,400,199,5385
113,853,160,131,131,131,MN20210104,20210104,MN,156,,5443
,,,0,0,0,OK20200304,,,,,
24,223,66,52,52,52,ID20210122,20210122,ID,64,,1667
96,822,281,128,126,124,TN20200918,20200918,TN,247,117,2196
17,161,33,150,150,150,KS20210319,20210319,KS,33,23,4842
15,93,20,39,39,39,CT20210528,20210528,CT,nan,,8238
137,906,212,206,206,206,IL20210310,20210310,IL,242,111,20810
128,923,231,105,105,105,VA20210421,20210421,VA,271,130,10640
35,116,26,61,51,38,SD20200918,20200918,SD,nan,,198
9,69,32,51,49,48,NM20200924,20200924,NM,nan,,859
10,127,30,50,50,50,ND20210110,20210110,ND,10,,1352
,,,0,0,0,AL20200125,,,,,
256,1915,371,96,96,96,NJ20210225,20210225,NJ,439,270,20816
318,2631,640,132,132,132,NC20201217,20201217,NC,620,,6065
15,113,26,55,55,55,NM20210417,20210417,NM,nan,,4001
25,155,49,142,142,142,KS20210412,20210412,KS,30,13,4930
53,216,45,122,122,122,IA20210406,20210406,IA,44,22,5835
56,379,84,126,126,126,IA20210128,20210128,IA,82,29,4532
12,92,19,126,126,126,IA20210602,20210602,IA,18,11,6061
7,126,15,16,16,16,DE20210307,20210307,DE,13,,1473
7,20,4,29,29,29,WY20210511,20210511,WY,nan,,712
515,4067,957,126,126,126,AZ20210122,20210122,AZ,1054,739,12001
16,149,30,15,15,15,RI20210429,20210429,RI,32,20,2669
6,15,4,31,31,31,WY20210408,20210408,WY,nan,,701
13,107,41,39,39,39,ME20210520,20210520,ME,38,20,816
88,718,206,204,204,204,IL20210604,20210604,IL,247,140,22880
54,437,131,219,222,222,LA20210320,20210320,LA,nan,68,9974
236,1520,356,101,101,101,MA20201213,20201213,MA,342,178,11349
353,2717,839,594,594,594,TX20210425,20210425,TX,nan,,48966
0,3,1,2,2,2,VI20210130,,,,,
,,,0,0,0,IN20200205,,,,,
395,2948,827,115,115,115,AL20210116,20210116,AL,nan,,6119
9,77,24,36,36,36,ME20210308,20210308,ME,16,8,706
45,330,73,65,65,65,OR20210506,20210506,OR,93,42,2514
544,5940,1267,206,206,206,PA20210104,20210104,PA,1182,678,16361
235,1706,349,70,70,70,SC20201229,20201229,SC,379,189,5249
9,35,9,25,24,22,AK20200903,20200903,AK,nan,8,40
26,330,79,65,65,65,OR20210516,20210516,OR,77,37,2582
27,203,47,65,65,65,OR20210414,20210414,OR,52,20,2449
358,2762,704,114,114,114,TN20201213,20201213,TN,686,357,5462
15,246,76,101,101,101,NE20210207,20210207,NE,nan,,1968
110,770,219,110,110,110,AR20210205,20210205,AR,nan,144,5050
145,1271,382,159,159,159,MI20210525,20210525,MI,401,231,19019
4,124,18,15,15,15,RI20210329,20210329,RI,16,7,2613
483,3676,878,164,164,164,MI20210423,20210423,MI,881,530,17168
12,78,17,66,66,66,MT20210223,20210223,MT,nan,,1346
337,1887,492,153,153,153,OK20210101,20210101,OK,467,,2527
26,194,46,63,63,63,OR20210412,20210412,OR,39,15,2440
16,80,19,28,28,28,NH20210302,20210302,NH,nan,,1170
212,1749,447,204,204,204,IL20210502,20210502,IL,472,225,22019
313,2073,382,96,96,96,NJ20210325,20210325,NJ,438,220,21795
19,128,45,100,100,100,NE20210427,20210427,NE,nan,,2242
211,1761,449,208,208,208,PA20210511,20210511,PA,406,239,26607
79,673,190,61,61,61,MD20210513,20210513,MD,200,,8704
34,145,47,139,139,139,OK20210511,20210511,OK,nan,,6832
241,1833,350,78,78,78,NJ20210309,20210309,NJ,408,235,21238
45,466,99,63,63,63,SD20201207,20201207,SD,nan,,1110
93,475,101,39,39,39,CT20210326,20210326,CT,nan,,7865
109,851,247,191,164,146,IL20200831,20200831,IL,347,157,8026
7,57,27,49,46,46,NM20200915,20200915,NM,nan,,830
106,851,239,111,111,111,AR20210130,20210130,AR,nan,146,4838
13,177,27,15,15,15,RI20210218,20210218,RI,32,18,2367
3,42,9,26,26,26,HI20210516,20210516,HI,nan,,492
547,4461,1097,230,230,230,OH20201227,20201227,OH,1083,731,8509
19,246,80,140,140,140,MN20210530,20210530,MN,77,,7426
37,379,81,126,126,126,IA20210124,20210124,IA,78,37,4488
177,1121,331,111,111,111,AR20201230,20201230,AR,nan,205,3637
6,57,20,24,24,24,HI20201130,20201130,HI,nan,,244
0,1,1,2,2,2,VI20210124,,,,,
383,1649,366,149,149,149,WI20201210,20201210,WI,332,,3944
2,92,13,67,67,67,PR20210314,,,,,
655,5784,1355,153,153,153,GA20210118,20210118,GA,nan,,11095
341,2953,657,132,132,132,NC20210128,20210128,NC,660,,9046
503,4193,1035,232,232,232,OH20210110,20210110,OH,1026,628,9627
20,329,60,67,67,67,PR20210113,,,,,
,,,0,0,0,IL20200223,,,,,
14,71,11,30,30,30,NH20210312,20210312,NH,nan,,1195
17,153,23,16,16,16,DE20210424,20210424,DE,21,,1615
143,1218,374,89,89,89,AR20210111,20210111,AR,nan,268,4081
25,234,73,100,86,78,WA20200915,20200915,WA,nan,28,2015
9,112,22,24,24,24,HI20210118,20210118,HI,nan,,322
34,272,54,62,62,62,NV20210321,20210321,NV,68,33,5161
29,334,107,105,105,105,WA20210327,20210327,WA,nan,55,5218
312,2909,752,132,132,132,NC20201226,20201226,NC,714,,6526
45,452,156,59,59,59,UT20210124,20210124,UT,182,,1595
52,383,132,124,124,124,AZ20210513,20210513,AZ,198,86,17438
61,299,76,123,123,122,IA20200922,20200922,IA,77,37,1286
44,353,94,52,52,52,ID20201226,20201226,ID,94,,1354
77,618,192,165,165,165,IN20210415,20210415,IN,188,72,12789
350,2766,730,125,125,125,AZ20210204,20210204,AZ,946,618,13752
5,45,9,65,65,65,SD20210312,20210312,SD,nan,,1907
,,,0,0,0,KY20200305,,,,,
13,107,33,53,53,53,ID20210530,20210530,ID,33,,2090
36,141,47,108,108,108,MS20210605,20210605,MS,46,21,7325
108,1232,315,161,161,161,MI20210201,20210201,MI,336,170,14609
24,265,94,95,95,95,WA20210322,20210322,WA,nan,43,5183
,,,0,0,0,LA20200102,,,,,
551,3485,811,267,267,267,FL20210423,20210423,FL,nan,,34759
444,1670,396,105,105,105,KY20210111,20210111,KY,381,207,2922
11,98,21,65,65,65,SD20210130,20210130,SD,nan,,1775
28,273,67,14,14,14,DC20201218,20201218,DC,73,32,728
94,535,185,96,96,96,CO20210223,20210223,CO,nan,,5907
178,1279,387,233,233,233,OH20210418,20210418,OH,389,214,18991
23,187,46,14,14,13,DC20210308,20210308,DC,45,17,1035
101,352,98,150,149,149,WI20210417,20210417,WI,75,,6711
40,135,47,110,110,110,AR20210507,20210507,AR,nan,34,5757
57,487,150,140,140,140,MO20210514,20210514,MO,148,84,8836
19,199,44,142,142,142,KS20210309,20210309,KS,39,17,4816
67,280,73,40,40,40,CT20210508,20210508,CT,nan,,8137
41,229,50,65,65,65,OR20210418,20210418,OR,52,23,2457
55,669,176,63,63,63,WV20201203,20201203,WV,169,89,789
12,195,30,66,66,66,PR20210522,,,,,
66,365,112,114,114,114,AL20210418,20210418,AL,nan,,10790
9,40,10,17,17,17,VT20210110,20210110,VT,10,,156
200,1976,360,96,96,96,NJ20210221,20210221,NJ,438,289,20569
4,8,3,28,28,28,WY20200916,20200916,WY,nan,,46
18,107,20,31,31,31,WY20210108,20210108,WY,nan,,489
20,241,51,65,65,65,SD20210102,20210102,SD,nan,,1501
12,104,23,28,28,28,NH20210215,20210215,NH,nan,,1135
308,2408,488,205,205,205,IL20210127,20210127,IL,591,300,18964
118,954,273,118,118,118,NC20210504,20210504,NC,276,,12700
63,277,83,150,149,149,WI20210306,20210306,WI,77,,6478
5,69,14,50,50,50,ND20210421,20210421,ND,7,,1484
117,715,303,124,119,118,NC20200903,20200903,NC,257,,2803
29,216,55,126,126,126,IA20210411,20210411,IA,55,21,5857
694,7532,2206,417,417,417,CA20210218,20210218,CA,2341,,47924
65,458,136,61,61,61,MD20210522,20210522,MD,134,,8799
24,264,40,76,74,72,NJ20200910,20200910,NJ,81,36,14225
107,667,217,105,105,105,CO20210428,20210428,CO,nan,,6272
17,122,23,64,64,64,OR20210322,20210322,OR,18,7,2365
237,1892,525,125,125,125,AZ20210212,20210212,AZ,705,466,14834
7,153,22,15,15,15,RI20210304,20210304,RI,23,16,2539
217,1564,375,60,60,60,MD20210122,20210122,MD,424,,6617
165,1220,292,61,61,61,MD20210408,20210408,MD,281,,8224
,,,0,0,0,MT20200105,,,,,
68,383,125,115,115,115,AL20210422,20210422,AL,nan,,10824
30,304,75,108,108,108,MS20210312,20210312,MS,88,45,6883
36,215,61,140,140,140,OK20210426,20210426,OK,nan,,6716
17,179,42,126,126,126,IA20210425,20210425,IA,42,23,5927
57,380,181,103,94,81,AR20200911,20200911,AR,nan,76,953
58,357,118,105,105,105,CO20210327,20210327,CO,nan,,6089
49,281,85,63,63,63,WV20210406,20210406,WV,80,17,2707
20,220,76,101,101,101,NE20210210,20210210,NE,nan,,1986
147,830,199,160,160,160,MI20210309,20210309,MI,217,103,15669
,,,0,0,0,NV20200129,,,,,
58,445,106,51,51,51,ID20201203,20201203,ID,105,,1014
170,1599,404,218,221,221,LA20210124,20210124,LA,nan,215,8565
28,300,62,64,64,64,OR20210201,20210201,OR,64,30,1958
543,4754,976,208,208,208,NY20210401,20210401,NY,894,545,40570
146,958,296,159,159,159,GA20210511,20210511,GA,nan,,17722
103,1021,316,163,163,163,MI20210529,20210529,MI,328,200,19163
140,902,231,200,200,200,OH20210315,20210315,OH,228,164,18036
35,344,89,108,108,108,MS20210304,20210304,MS,101,62,6764
4,61,32,48,45,44,NM20200901,20200901,NM,nan,,787
53,461,106,87,87,87,SC20210326,20210326,SC,128,56,9104
22,210,31,15,15,15,RI20210216,20210216,RI,36,20,2344
714,4983,1165,230,230,230,OH20201218,20201218,OH,1172,817,7967
,,,0,0,0,HI20200123,,,,,
35,340,73,65,65,65,OR20210515,20210515,OR,77,37,2582
54,353,82,124,124,124,AZ20210530,20210530,AZ,158,68,17628
50,580,178,126,126,126,MO20210308,20210308,MO,177,107,8161
60,583,162,101,101,101,NE20201219,20201219,NE,nan,,1475
274,2316,472,108,108,108,VA20201231,20201231,VA,525,328,5032
187,1378,332,380,379,379,CA20210517,20210517,CA,328,,61510
131,924,239,166,166,166,IN20210210,20210210,IN,263,137,11578
53,424,136,125,125,125,AZ20210429,20210429,AZ,189,85,17305
5,48,11,102,102,102,NE20210604,20210604,NE,nan,,2249
0,3,2,2,2,2,VI20210429,,,,,
282,2433,678,125,125,125,MO20201221,20201221,MO,652,353,4947
23,192,67,108,108,108,MS20210506,20210506,MS,58,27,7226
136,728,225,152,152,152,OK20210221,20210221,OK,467,,4181
7,71,12,50,50,50,ND20210205,20210205,ND,7,,1426
113,818,301,139,132,127,MO20200916,20200916,MO,nan,123,1739
101,999,246,105,105,105,WA20201211,20201211,WA,nan,133,2879
415,3373,605,78,78,78,NJ20210119,20210119,NJ,635,432,18421
111,931,311,123,122,119,TN20200902,20200902,TN,315,159,1797
78,868,266,163,163,163,MI20210602,20210602,MI,276,168,19209
42,266,52,62,62,62,NV20210407,20210407,NV,68,39,5297
139,921,266,102,102,102,CO20210106,20210106,CO,nan,,5050
82,434,105,140,140,140,MN20210331,20210331,MN,102,,6848
89,696,202,113,113,113,TN20210319,20210319,TN,206,107,11709
6,74,14,15,15,15,RI20210527,20210527,RI,15,10,2708
67,610,173,61,61,61,MD20210515,20210515,MD,177,,8733
56,394,98,65,65,65,OR20210116,20210116,OR,97,56,1758
18,117,32,31,31,31,WY20201227,20201227,WY,nan,,373
32,280,66,14,14,14,DC20210103,20210103,DC,69,35,794
89,446,101,39,39,39,CT20210324,20210324,CT,nan,,7852
0,1,0,17,17,17,VT20200910,20200910,VT,nan,,58
544,3941,799,158,158,158,MI20210412,20210412,MI,807,446,16512
34,289,51,77,74,72,NJ20200831,20200831,NJ,84,33,14165
91,708,188,199,199,199,OH20210531,20210531,OH,192,130,19859
34,169,47,150,150,150,KS20210416,20210416,KS,42,14,4944
127,1118,346,109,109,109,AR20210117,20210117,AR,nan,221,4311
180,1196,308,108,108,108,MS20210101,20210101,MS,357,211,4816
144,989,317,110,110,110,AR20201203,20201203,AR,nan,190,2555
3,29,4,17,17,17,VT20210311,20210311,VT,3,,211
162,1074,304,104,104,104,CO20201230,20201230,CO,nan,,4750
409,3279,843,164,164,164,MI20210428,20210428,MI,852,547,17467
45,391,52,16,16,16,DE20201210,20201210,DE,44,,806
1020,11729,3045,381,380,380,CA20210209,20210209,CA,3164,,44477
191,1385,297,70,70,70,SC20201221,20201221,SC,324,165,4976
47,632,162,105,105,105,WA20210207,20210207,WA,nan,77,4449
42,324,72,220,223,223,LA20210521,20210521,LA,nan,27,10522
129,1443,334,188,188,188,IL20210215,20210215,IL,389,184,20002
101,705,190,126,126,126,AZ20210306,20210306,AZ,280,140,16323
347,413,145,107,101,100,KY20200901,20200901,KY,138,,948
63,519,148,214,187,177,PA20200912,20200912,PA,nan,63,7837
104,948,211,96,96,96,WA20210111,20210111,WA,nan,116,3699
128,887,205,206,206,206,IL20210314,20210314,IL,235,94,20943
442,3530,843,163,163,163,MI20201211,20201211,MI,830,518,10456
9,100,20,30,30,30,NH20210220,20210220,NH,nan,,1153
22,152,46,150,150,150,KS20210417,20210417,KS,46,16,4953
13,232,56,67,67,67,PR20210126,,,,,
136,1417,273,107,107,107,VA20210219,20210219,VA,329,204,7098
9,131,40,101,101,101,NE20210305,20210305,NE,nan,,2112
49,459,120,101,101,101,NE20210115,20210115,NE,nan,,1837
52,334,108,114,114,114,AL20210409,20210409,AL,nan,,10686
7,55,15,50,50,50,ND20210516,20210516,ND,6,,1504
19,241,45,15,15,15,RI20210210,20210210,RI,42,22,2259
17,124,52,39,39,39,ME20210501,20210501,ME,51,15,789
,,,0,0,0,WI20200303,,,,,
60,523,138,87,87,87,SC20210313,20210313,SC,156,61,8875
115,1163,218,32,32,32,CT20201130,20201130,CT,nan,,5020
228,2011,403,87,87,87,SC20210123,20210123,SC,445,283,6547
257,1946,367,78,78,78,NJ20210223,20210223,NJ,435,273,20689
43,637,166,95,79,81,VA20200831,20200831,VA,257,146,2580
27,212,55,52,52,52,ID20210128,20210128,ID,55,,1721
48,142,35,40,40,40,CT20210520,20210520,CT,nan,,8208
31,433,88,62,62,62,PR20201221,,,,,
258,1677,370,59,59,59,MD20210106,20210106,MD,444,,5960
80,507,123,175,152,136,NY20200911,20200911,NY,120,54,25382
66,677,196,81,78,77,SC20200908,20200908,SC,213,118,2912
57,449,183,96,96,96,CO20210601,20210601,CO,nan,,6579
169,1077,308,110,110,110,AR20210121,20210121,AR,nan,195,4496
98,882,210,96,96,96,VA20210315,20210315,VA,217,131,10060
1,42,12,50,50,50,ND20210530,20210530,ND,4,,1512
38,318,64,65,65,65,OR20210428,20210428,OR,64,32,2490
43,216,39,67,67,67,MT20210107,20210107,MT,nan,,1038
29,258,62,65,65,65,SD20201224,20201224,SD,nan,,1430
30,237,46,30,30,30,NH20210120,20210120,NH,nan,,950
7,26,6,17,17,17,VT20210407,20210407,VT,6,,230
20,59,13,65,65,65,MT20210524,20210524,MT,nan,,1603
44,300,62,150,150,150,KS20210225,20210225,KS,52,22,4724
90,756,219,110,110,110,AR20210207,20210207,AR,nan,126,5076
44,276,98,113,113,113,AL20210528,20210528,AL,nan,,11140
19,127,51,60,60,60,UT20210523,20210523,UT,45,,2290
100,777,214,61,61,61,MD20210317,20210317,MD,226,,7915
503,4450,1256,419,418,418,CA20210303,20210303,CA,1335,,52775
140,801,200,61,61,61,MD20210325,20210325,MD,223,,8032
,,,0,0,0,NC20200119,,,,,
72,542,167,96,96,96,CO20210201,20210201,CO,nan,,5641
3,42,12,24,24,24,AK20210507,20210507,AK,nan,7,343
40,348,100,55,52,51,MD20200907,20200907,MD,109,,3660
87,573,210,105,105,105,CO20210515,20210515,CO,nan,,6442
235,2422,496,95,95,95,VA20210125,20210125,VA,554,324,6081
486,2559,507,164,164,164,MI20210401,20210401,MI,511,212,16141
13,133,44,48,48,48,ID20210419,20210419,ID,44,,2022
306,2426,656,140,140,140,MO20201209,20201209,MO,650,350,4383
39,168,70,109,109,109,AR20210605,20210605,AR,nan,35,5846
48,355,90,131,131,131,MN20210329,20210329,MN,88,,6835
454,3606,859,125,125,125,AZ20201220,20201220,AZ,885,595,7971
123,872,208,87,87,87,SC20201203,20201203,SC,261,111,4496
3,55,27,49,46,45,NM20200905,20200905,NM,nan,,800
497,3006,728,124,124,124,AZ20201210,20201210,AZ,799,496,7154
28,147,43,150,150,150,OK20210605,20210605,OK,nan,,7316
40,277,62,65,65,65,OR20210423,20210423,OR,64,27,2476
34,236,56,126,126,126,IA20210219,20210219,IA,56,24,5336
165,1452,329,375,375,375,CA20210510,20210510,CA,368,,61241
52,549,124,65,65,65,OR20201212,20201212,OR,128,57,1138
255,1862,589,107,107,107,AL20210202,20210202,AL,nan,,7894
15,176,55,63,63,63,WV20200919,20200919,WV,58,32,308
61,369,98,125,125,125,AZ20210418,20210418,AZ,150,70,17153
335,3710,1040,379,379,379,CA20210308,20210308,CA,1065,,54224
46,391,115,105,105,105,VA20210528,20210528,VA,131,78,11156
190,1124,316,234,234,234,OH20210505,20210505,OH,311,188,19337
,,,0,0,0,IN20200107,,,,,
140,1147,345,111,111,111,AR20210103,20210103,AR,nan,194,3749
78,518,184,59,59,59,UT20210120,20210120,UT,210,,1517
8,50,17,30,30,30,NH20210526,20210526,NH,nan,,1346
0,0,0,2,2,2,VI20210218,,,,,
108,667,191,165,165,165,IN20210501,20210501,IN,190,72,12926
2,16,8,30,30,30,WY20210321,20210321,WY,nan,,693
2,12,3,17,17,17,VT20210522,20210522,VT,3,,255
13,163,51,101,101,101,NE20210411,20210411,NE,nan,,2220
12,183,63,108,108,108,MS20210408,20210408,MS,64,36,7082
17,110,29,63,55,52,OR20200915,20200915,OR,23,11,519
19,155,57,100,83,77,CO20200830,20200830,CO,nan,,1944
63,325,104,130,130,130,MN20200922,20200922,MN,102,,1979
73,332,99,142,142,142,WI20210412,20210412,WI,75,,6680
68,423,128,125,125,125,AZ20210505,20210505,AZ,183,87,17360
121,912,205,106,106,106,VA20210310,20210310,VA,231,135,9849
32,257,107,53,53,53,UT20210216,20210216,UT,106,,1797
357,3111,858,419,418,418,CA20210314,20210314,CA,896,,55235
,,,0,0,0,WV20200302,,,,,
,,,0,0,0,MN20200215,,,,,
432,1557,402,124,124,124,KY20201224,20201224,KY,413,222,2466
10,112,37,53,53,53,ID20210526,20210526,ID,37,,2088
21,159,47,139,139,139,OK20210510,20210510,OK,nan,,6832
10,72,13,65,65,65,SD20210228,20210228,SD,nan,,1888
,,,0,0,0,NV20200212,,,,,
8,61,32,48,45,44,NM20200902,20200902,NM,nan,,790
12,149,65,99,86,78,CO20200907,20200907,CO,nan,,1973
,,,0,0,0,CA20200208,,,,,
83,560,193,59,59,59,UT20210114,20210114,UT,194,,1460
33,170,26,67,67,67,MT20210117,20210117,MT,nan,,1092
389,1560,406,124,124,124,KY20201220,20201220,KY,403,226,2397
0,6,1,2,2,2,VI20210212,,,,,
27,177,51,69,69,69,SC20210531,20210531,SC,69,40,9732
10,82,15,24,24,24,HI20201228,20201228,HI,nan,,285
115,1143,264,95,95,95,VA20210301,20210301,VA,295,196,8783
11,122,43,53,51,51,NM20210322,20210322,NM,nan,,3892
54,309,67,63,63,63,NV20210421,20210421,NV,78,34,5388
10,41,7,65,65,65,MT20210406,20210406,MT,nan,,1477
162,1293,340,229,229,229,PA20210520,20210520,PA,310,194,26965
185,1204,291,61,61,61,MD20210407,20210407,MD,277,,8203
152,1085,283,109,109,109,MS20201216,20201216,MS,321,193,4294
4,35,2,17,17,17,VT20210402,20210402,VT,2,,228
704,1525,537,156,138,124,GA20200912,20200912,GA,nan,,6287
206,1651,376,139,139,139,MN20201204,20201204,MN,367,,3845
843,7010,1483,231,231,231,FL20210125,20210125,FL,nan,,25446
4,19,7,30,30,30,WY20210404,20210404,WY,nan,,700
92,616,156,143,143,143,WI20210208,20210208,WI,134,,6055
117,784,196,61,61,61,MD20210312,20210312,MD,195,,7848
17,146,13,16,16,16,DE20210429,20210429,DE,15,,1624
41,170,48,40,40,40,CT20210516,20210516,CT,nan,,8173
381,3442,702,96,96,96,NJ20201225,20201225,NJ,724,478,16650
720,1610,539,153,136,123,GA20200909,20200909,GA,nan,,6128
9,24,9,30,30,30,WY20210513,20210513,WY,nan,,712
11,43,13,63,63,63,SD20210322,20210322,SD,nan,,1923
139,833,191,149,147,147,WI20210124,20210124,WI,169,,5691
61,338,115,105,105,105,CO20210404,20210404,CO,nan,,6126
,,,0,0,0,TX20200222,,,,,
5,125,26,15,15,15,RI20210508,20210508,RI,23,18,2687
204,1197,283,234,234,234,OH20210408,20210408,OH,282,157,18744
,,,0,0,0,IN20200114,,,,,
514,3244,1055,564,561,560,TX20200922,20200922,TX,nan,,14994
29,235,37,30,19,14,HI20200904,20200904,HI,nan,,81
323,2645,694,260,256,253,FL20200917,20200917,FL,nan,,13086
77,585,165,217,222,222,LA20210305,20210305,LA,nan,77,9716
68,509,184,105,105,105,CO20210523,20210523,CO,nan,,6505
149,1666,456,166,166,166,IN20210124,20210124,IN,479,244,9340
39,322,79,63,63,63,NV20210418,20210418,NV,80,37,5365
23,147,36,150,150,150,KS20210408,20210408,KS,29,13,4932
11,65,15,32,31,30,CT20200902,20200902,CT,nan,,4467
131,909,219,205,205,205,IL20210306,20210306,IL,261,108,20750
14,138,60,39,39,39,ME20210508,20210508,ME,50,23,795
619,4418,922,268,268,268,FL20201202,20201202,FL,nan,,18776
522,5357,1138,204,204,204,PA20210111,20210111,PA,1070,663,17853
,,,0,0,0,IA20200304,,,,,
139,871,231,200,200,200,OH20210316,20210316,OH,238,163,18114
11,195,28,66,66,66,PR20210521,,,,,
,,,0,0,0,MN20200101,,,,,
59,334,78,141,141,141,KS20210223,20210223,KS,52,22,4643
11,59,12,17,17,17,VT20210129,20210129,VT,11,,172
15,134,30,61,48,43,MT20200908,20200908,MT,nan,,119
61,405,212,102,93,83,AR20200921,20200921,AR,nan,97,1197
2,64,14,65,65,65,MT20210419,20210419,MT,nan,,1546
241,1733,496,106,106,106,AL20201130,20201130,AL,nan,,3578
55,399,106,40,40,40,CT20210321,20210321,CT,nan,,7832
194,1656,335,70,70,70,SC20201228,20201228,SC,380,175,5198
1,20,6,30,30,30,WY20210222,20210222,WY,nan,,662
19,309,50,67,67,67,PR20210115,,,,,
588,4758,1067,268,268,268,FL20210214,20210214,FL,nan,,28779
101,870,240,119,119,119,NC20210322,20210322,NC,234,,11836
2,8,3,17,17,17,VT20210524,20210524,VT,3,,255
94,878,234,132,132,132,NC20210324,20210324,NC,225,,11894
,,,0,0,0,NC20200225,,,,,
39,170,40,126,126,126,IA20210320,20210320,IA,41,16,5674
56,464,148,124,124,124,MO20210601,20210601,MO,145,104,9129
143,910,238,141,141,141,KS20210105,20210105,KS,180,65,2897
173,1484,375,160,160,160,MI20210126,20210126,MI,382,210,14405
89,485,131,165,165,165,IN20210407,20210407,IN,144,61,12694
1700,13985,3731,589,589,589,TX20210119,20210119,TX,nan,,32394
246,1799,469,234,234,234,OH20210212,20210212,OH,482,307,15136
90,682,193,131,131,131,MN20210419,20210419,MN,172,,7026
27,234,53,30,30,30,NH20210124,20210124,NH,nan,,987
18,157,31,31,31,31,WY20201220,20201220,WY,nan,,351
24,58,13,67,67,67,MT20210603,20210603,MT,nan,,1627
32,282,84,130,130,130,MN20200906,20200906,MN,90,,1857
748,5159,1210,231,231,231,OH20201210,20201210,OH,1193,760,7298
60,240,82,149,149,149,WI20210526,20210526,WI,76,,7003
19,244,67,52,52,52,ID20210120,20210120,ID,67,,1635
16,196,38,67,67,67,PR20210205,,,,,
97,852,227,61,61,61,MD20210506,20210506,MD,238,,8631
102,596,166,102,102,102,MA20210303,20210303,MA,173,109,15925
,,,0,0,0,RI20200305,,,,,
35,384,93,140,140,140,MN20210131,20210131,MN,95,,6200
79,855,212,96,96,96,WA20210119,20210119,WA,nan,104,3940
139,1017,268,132,132,132,NC20210415,20210415,NC,249,,12359
467,3529,812,132,132,132,NC20210109,20210109,NC,834,,7425
42,340,71,63,63,63,WV20210218,20210218,WV,57,25,2236
275,2389,649,140,140,140,MO20201219,20201219,MO,653,351,4904
24,187,45,14,14,14,DC20201205,20201205,DC,54,22,695
150,1097,276,143,143,143,KS20201130,20201130,KS,227,92,1560
23,216,60,87,87,87,SC20210523,20210523,SC,89,41,9690
242,1812,361,96,96,96,NJ20210311,20210311,NJ,401,236,21340
