previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,deathIncrease
119,617,230,101,101,100,CO20201029,20201029,CO,,,19
39,328,67,31,31,31,CT20201029,20201029,CT,,,5
16,123,25,14,14,13,DC20201029,20201029,DC,28,9,1
12,136,25,16,16,16,DE20201029,20201029,DE,22,,1
533,2511,626,271,271,267,FL20201029,20201029,FL,,,79
262,1452,436,169,167,167,GA20201029,20201029,GA,,,47
5,62,9,25,25,25,HI20201029,20201029,HI,15,12,-2
94,602,152,125,125,125,IA20201029,20201029,IA,135,56,11
40,256,73,51,51,51,ID20201029,20201029,ID,72,,14
365,2377,583,198,198,196,IL20201029,20201029,IL,643,269,56
211,1330,400,161,161,161,IN20201029,20201029,IN,508,159,33
93,443,139,148,148,146,KS20201029,20201029,KS,120,40,0
280,894,252,123,123,123,KY20201029,20201029,KY,234,,19
81,1156,202,212,222,222,LA20201029,20201029,LA,,79,18
58,343,80,103,103,103,MA20201029,20201029,MA,99,49,27
80,508,134,60,60,60,MD20201029,20201029,MD,120,,12
8,21,7,39,39,39,ME20201029,20201029,ME,5,2,0
266,1446,366,160,160,159,MI20201029,20201029,MI,320,153,47
101,763,185,140,140,140,MN20201029,20201029,MN,173,,32
211,1433,439,140,140,140,MO20201029,20201029,MO,464,179,29
79,606,186,107,106,105,MS20201029,20201029,MS,176,68,8
51,365,91,67,67,67,MT20201029,20201029,MT,,,12
147,1110,349,129,129,128,NC20201029,20201029,NC,340,,38
47,321,52,50,50,50,ND20201029,20201029,ND,41,,11
103,540,157,98,98,98,NE20201029,20201029,NE,,,8
8,32,12,30,30,30,NH20201029,20201029,NH,,,4
107,882,171,93,93,93,NJ20201029,20201029,NJ,217,79,8
59,374,120,52,52,52,NM20201029,20201029,NM,,,3
51,532,153,62,62,62,NV20201029,20201029,NV,162,64,3
147,1176,240,180,180,180,NY20201029,20201029,NY,237,114,19
247,1535,420,220,217,217,OH20201029,20201029,OH,416,226,19
185,840,295,153,153,153,OK20201029,20201029,OK,305,,20
28,168,46,64,64,63,OR20201029,20201029,OR,62,19,7
181,1466,374,222,221,220,PA20201029,20201029,PA,,127,44
128,325,56,67,67,67,PR20201029,20201029,PR,63,39,1
11,170,16,15,15,15,RI20201029,20201029,RI,16,9,3
83,641,183,84,84,84,SC20201029,20201029,SC,202,97,13
71,397,83,65,65,64,SD20201029,20201029,SD,,,19
177,1456,457,139,139,138,TN20201029,20201029,TN,432,173,22
805,5579,1603,584,584,584,TX20201029,20201029,TX,1599,,119
59,341,127,58,57,57,UT20201029,20201029,UT,123,,10
85,715,180,106,106,106,VA20201029,20201029,VA,249,108,20
0,3,1,2,2,2,VI20201029,20201029,VI,,,0
2,5,3,17,17,17,VT20201029,20201029,VT,2,,0
54,340,102,102,102,102,WA20201029,20201029,WA,112,40,16
360,1579,347,147,147,147,WI20201029,20201029,WI,330,,60
34,292,75,63,63,63,WV20201029,20201029,WV,84,28,7
24,106,18,28,28,28,WY20201029,20201029,WY,,,10
8,68,17,22,22,21,AK20201028,20201028,AK,,8,1
187,1034,305,114,114,114,AL20201028,20201028,AL,,,19
75,624,199,105,105,105,AR20201028,20201028,AR,228,94,18
95,609,195,113,113,112,AZ20201028,20201028,AZ,188,94,14
372,2364,693,403,400,399,CA20201028,20201028,CA,770,,75
109,586,229,100,100,97,CO20201028,20201028,CO,,,13
50,320,70,31,31,31,CT20201028,20201028,CT,,,9
11,124,24,14,14,14,DC20201028,20201028,DC,25,8,0
13,134,27,16,16,16,DE20201028,20201028,DE,22,,2
511,2490,582,270,270,270,FL20201028,20201028,FL,,,66
301,1416,440,169,168,168,GA20201028,20201028,GA,,,32
9,65,13,25,25,25,HI20201028,20201028,HI,15,12,3
110,601,134,125,125,125,IA20201028,20201028,IA,136,51,21
36,252,70,49,49,49,ID20201028,20201028,ID,75,,5
346,2382,561,197,197,195,IL20201028,20201028,IL,600,243,51
159,1279,390,160,160,160,IN20201028,20201028,IN,470,166,33
101,431,140,147,147,145,KS20201028,20201028,KS,120,40,31
220,889,251,123,123,123,KY20201028,20201028,KY,235,,14
87,1145,196,212,222,222,LA20201028,20201028,LA,,80,18
52,340,73,103,103,103,MA20201028,20201028,MA,106,49,36
59,487,133,60,60,60,MD20201028,20201028,MD,114,,7
6,19,8,39,39,39,ME20201028,20201028,ME,7,0,0
256,1360,348,159,159,158,MI20201028,20201028,MI,320,153,21
120,721,181,140,140,139,MN20201028,20201028,MN,166,,19
167,1373,418,140,140,140,MO20201028,20201028,MO,451,173,32
94,612,186,105,104,103,MS20201028,20201028,MS,157,62,19
60,366,98,67,67,67,MT20201028,20201028,MT,,,20
151,1120,350,129,129,128,NC20201028,20201028,NC,329,,34
39,311,47,50,50,50,ND20201028,20201028,ND,41,,12
80,485,137,97,97,97,NE20201028,20201028,NE,,,17
1,27,11,30,30,30,NH20201028,20201028,NH,,,3
104,844,154,93,93,93,NJ20201028,20201028,NJ,194,80,18
43,342,120,52,52,52,NM20201028,20201028,NM,,,11
71,519,155,62,62,62,NV20201028,20201028,NV,142,56,10
163,1174,235,179,179,179,NY20201028,20201028,NY,236,120,15
248,1492,411,220,217,217,OH20201028,20201028,OH,416,224,17
204,838,286,152,152,152,OK20201028,20201028,OK,305,,13
20,157,44,63,62,62,OR20201028,20201028,OR,61,26,9
168,1430,364,220,219,217,PA20201028,20201028,PA,,114,22
108,302,53,68,68,68,PR20201028,20201028,PR,61,37,5
18,180,17,15,15,15,RI20201028,20201028,RI,18,8,4
72,659,193,83,83,83,SC20201028,20201028,SC,201,95,34
76,398,71,65,65,64,SD20201028,20201028,SD,,,9
196,1448,436,137,137,136,TN20201028,20201028,TN,384,171,34
759,5571,1609,585,585,585,TX20201028,20201028,TX,1636,,105
51,334,116,58,57,57,UT20201028,20201028,UT,117,,10
90,725,195,106,106,106,VA20201028,20201028,VA,252,113,16
0,2,1,2,2,2,VI20201028,20201028,VI,,,0
3,5,3,17,17,17,VT20201028,20201028,VT,,,0
37,328,99,100,100,100,WA20201028,20201028,WA,100,44,16
361,1555,365,147,147,147,WI20201028,20201028,WI,339,,48
41,288,85,63,63,63,WV20201028,20201028,WV,83,27,4
11,106,27,29,29,29,WY20201028,20201028,WY,,,0
14,63,13,23,23,22,AK20201027,20201027,AK,,8,2
172,1003,288,104,104,104,AL20201027,20201027,AL,,,26
91,619,197,89,89,88,AR20201027,20201027,AR,232,89,24
88,609,194,97,97,95,AZ20201027,20201027,AZ,187,100,16
353,2346,701,392,387,385,CA20201027,20201027,CA,774,,43
88,529,212,96,96,94,CO20201027,20201027,CO,,,10
47,309,63,31,31,31,CT20201027,20201027,CT,,,6
10,119,22,14,14,13,DC20201027,20201027,DC,26,7,2
8,130,31,12,12,12,DE20201027,20201027,DE,20,,1
341,2483,597,259,259,259,FL20201027,20201027,FL,,,57
321,1430,436,167,166,166,GA20201027,20201027,GA,,,17
9,64,13,23,23,23,HI20201027,20201027,HI,15,10,0
113,577,135,122,122,122,IA20201027,20201027,IA,128,46,13
36,252,68,49,49,49,ID20201027,20201027,ID,75,,7
349,2222,527,189,189,185,IL20201027,20201027,IL,595,241,46
187,1268,383,143,142,142,IN20201027,20201027,IN,494,156,51
89,426,128,142,141,138,KS20201027,20201027,KS,103,39,0
224,841,254,106,106,106,KY20201027,20201027,KY,233,,18
80,1139,200,211,222,222,LA20201027,20201027,LA,,91,18
53,341,77,80,80,80,MA20201027,20201027,MA,109,47,7
96,488,128,54,54,54,MD20201027,20201027,MD,105,,9
3,14,8,37,37,37,ME20201027,20201027,ME,5,0,0
231,1308,327,157,157,155,MI20201027,20201027,MI,320,146,33
111,689,170,131,131,131,MN20201027,20201027,MN,165,,15
209,1326,441,130,130,130,MO20201027,20201027,MO,449,162,28
76,581,178,103,102,101,MS20201027,20201027,MS,159,63,20
82,374,86,67,67,67,MT20201027,20201027,MT,,,2
151,1145,340,125,125,124,NC20201027,20201027,NC,329,,41
45,300,45,47,48,48,ND20201027,20201027,ND,37,,14
67,446,130,97,97,97,NE20201027,20201027,NE,,,7
3,24,9,29,29,29,NH20201027,20201027,NH,,,0
111,818,153,78,78,78,NJ20201027,20201027,NJ,182,68,14
51,329,114,51,51,51,NM20201027,20201027,NM,,,4
57,484,139,60,60,60,NV20201027,20201027,NV,144,58,7
152,1149,237,178,178,178,NY20201027,20201027,NY,233,120,16
220,1438,413,205,203,203,OH20201027,20201027,OH,418,225,22
201,794,279,143,143,143,OK20201027,20201027,OK,286,,22
21,139,41,63,62,62,OR20201027,20201027,OR,49,22,2
175,1398,369,197,195,192,PA20201027,20201027,PA,,110,23
33,292,42,68,68,68,PR20201027,20201027,PR,59,38,4
13,166,18,15,15,15,RI20201027,20201027,RI,14,8,4
89,633,181,74,74,74,SC20201027,20201027,SC,188,93,19
91,399,79,64,64,63,SD20201027,20201027,SD,,,0
205,1412,430,122,121,120,TN20201027,20201027,TN,393,162,44
746,5674,1636,582,582,581,TX20201027,20201027,TX,1601,,81
56,313,116,55,54,54,UT20201027,20201027,UT,111,,4
80,711,195,98,98,98,VA20201027,20201027,VA,230,106,19
0,3,1,2,2,2,VI20201027,20201027,VI,,,0
1,4,2,17,17,17,VT20201027,20201027,VT,,,0
48,325,98,96,96,96,WA20201027,20201027,WA,88,37,25
338,1506,363,144,144,144,WI20201027,20201027,WI,339,,71
26,274,84,59,59,59,WV20201027,20201027,WV,74,26,8
17,105,24,28,28,28,WY20201027,20201027,WY,,,0
10,57,12,23,23,22,AK20201026,20201026,AK,,9,0
149,967,295,104,104,104,AL20201026,20201026,AL,,,0
82,591,199,89,88,87,AR20201026,20201026,AR,255,97,21
78,589,199,100,100,97,AZ20201026,20201026,AZ,179,97,1
299,2348,665,392,388,386,CA20201026,20201026,CA,735,,12
76,499,190,97,97,94,CO20201026,20201026,CO,,,3
34,291,61,32,31,31,CT20201026,20201026,CT,,,12
10,124,29,14,14,12,DC20201026,20201026,DC,23,12,0
8,125,25,12,12,11,DE20201026,20201026,DE,19,,4
283,2442,560,256,255,255,FL20201026,20201026,FL,,,20
243,1413,427,166,164,164,GA20201026,20201026,GA,,,18
8,63,11,24,24,24,HI20201026,20201026,HI,15,10,0
78,559,126,122,122,122,IA20201026,20201026,IA,129,45,14
39,260,68,49,49,49,ID20201026,20201026,ID,75,,1
295,2180,527,192,191,185,IL20201026,20201026,IL,589,238,17
127,1222,385,144,143,143,IN20201026,20201026,IN,500,164,13
75,416,125,144,140,134,KS20201026,20201026,KS,103,39,1
196,805,250,106,106,106,KY20201026,20201026,KY,253,,3
66,1131,192,205,214,214,LA20201026,20201026,LA,,71,17
57,335,82,80,80,80,MA20201026,20201026,MA,105,43,17
54,460,124,53,52,52,MD20201026,20201026,MD,112,,3
5,15,6,37,37,37,ME20201026,20201026,ME,5,0,0
178,1248,305,154,153,152,MI20201026,20201026,MI,320,140,30
95,670,171,130,130,130,MN20201026,20201026,MN,149,,4
168,1298,432,131,131,131,MO20201026,20201026,MO,481,174,5
51,570,167,104,102,96,MS20201026,20201026,MS,157,66,8
46,361,83,67,67,67,MT20201026,20201026,MT,,,6
117,1169,338,126,125,125,NC20201026,20201026,NC,332,,13
44,291,42,48,49,49,ND20201026,20201026,ND,38,,6
33,429,128,94,94,94,NE20201026,20201026,NE,,,1
4,26,9,29,29,29,NH20201026,20201026,NH,,,2
78,799,143,78,78,78,NJ20201026,20201026,NJ,178,75,7
44,308,116,50,48,48,NM20201026,20201026,NM,,,9
43,486,142,60,60,59,NV20201026,20201026,NV,148,64,1
108,1130,237,178,177,176,NY20201026,20201026,NY,237,118,12
176,1374,396,205,204,203,OH20201026,20201026,OH,408,216,11
161,808,266,146,146,146,OK20201026,20201026,OK,305,,2
19,131,34,63,63,62,OR20201026,20201026,OR,53,21,0
135,1327,346,198,196,191,PA20201026,20201026,PA,,108,7
16,269,50,66,66,66,PR20201026,20201026,PR,58,45,3
6,160,16,15,15,15,RI20201026,20201026,RI,14,8,1
84,662,180,74,74,74,SC20201026,20201026,SC,201,93,21
62,384,77,64,64,63,SD20201026,20201026,SD,,,0
171,1414,414,122,120,120,TN20201026,20201026,TN,366,161,32
699,5513,1599,582,582,581,TX20201026,20201026,TX,1545,,10
51,297,110,56,54,53,UT20201026,20201026,UT,112,,2
76,723,188,98,97,97,VA20201026,20201026,VA,230,114,2
0,2,1,2,2,2,VI20201026,20201026,VI,,,0
2,3,1,17,17,17,VT20201026,20201026,VT,,,0
29,321,91,99,98,97,WA20201026,20201026,WA,100,43,0
329,1459,351,144,142,140,WI20201026,20201026,WI,329,,11
24,269,79,59,59,59,WV20201026,20201026,WV,71,23,1
15,103,25,28,28,28,WY20201026,20201026,WY,,,9
4,51,9,23,23,22,AK20201025,20201025,AK,,9,0
149,956,288,113,113,113,AL20201025,20201025,AL,,,0
86,606,206,105,105,104,AR20201025,20201025,AR,244,91,15
94,580,183,114,113,111,AZ20201025,20201025,AZ,181,91,5
318,2286,621,407,402,400,CA20201025,20201025,CA,722,,34
92,500,177,100,100,97,CO20201025,20201025,CO,,,5
24,274,61,32,31,31,CT20201025,20201025,CT,,,0
9,113,26,14,14,13,DC20201025,20201025,DC,21,8,0
11,133,25,16,16,14,DE20201025,20201025,DE,21,,1
297,2389,536,268,268,268,FL20201025,20201025,FL,,,12
229,1329,435,168,163,163,GA20201025,20201025,GA,,,1
3,64,12,24,24,23,HI20201025,20201025,HI,15,10,3
77,556,127,125,125,125,IA20201025,20201025,IA,119,42,3
30,244,65,51,51,51,ID20201025,20201025,ID,66,,10
271,2071,518,199,198,192,IL20201025,20201025,IL,565,214,24
173,1177,386,158,157,157,IN20201025,20201025,IN,500,165,12
83,438,116,148,144,138,KS20201025,20201025,KS,2,41,0
185,787,274,117,116,116,KY20201025,20201025,KY,208,,3
75,1125,174,205,214,214,LA20201025,20201025,LA,,66,17
56,318,78,103,103,103,MA20201025,20201025,MA,109,45,25
57,445,122,59,58,58,MD20201025,20201025,MD,103,,5
2,11,2,39,39,39,ME20201025,20201025,ME,0,0,0
141,1153,286,156,156,154,MI20201025,20201025,MI,273,121,0
85,620,154,131,131,131,MN20201025,20201025,MN,163,,21
155,1251,414,139,139,139,MO20201025,20201025,MO,484,167,4
72,569,173,106,105,98,MS20201025,20201025,MS,154,65,0
51,326,76,67,67,67,MT20201025,20201025,MT,,,3
128,1133,342,128,127,126,NC20201025,20201025,NC,321,,13
29,283,44,49,49,49,ND20201025,20201025,ND,37,,8
55,409,131,95,95,94,NE20201025,20201025,NE,,,4
5,23,10,30,30,29,NH20201025,20201025,NH,,,0
84,773,148,94,94,94,NJ20201025,20201025,NJ,164,72,4
90,346,131,52,49,49,NM20201025,20201025,NM,,,2
47,469,134,62,62,61,NV20201025,20201025,NV,134,51,5
133,1099,242,178,177,176,NY20201025,20201025,NY,227,118,12
189,1321,370,217,216,215,OH20201025,20201025,OH,377,195,0
181,815,263,152,152,152,OK20201025,20201025,OK,305,,4
12,137,37,63,63,62,OR20201025,20201025,OR,53,21,4
124,1280,337,218,216,212,PA20201025,20201025,PA,,115,12
10,236,43,66,66,66,PR20201025,20201025,PR,60,46,7
4,158,16,15,15,15,RI20201025,20201025,RI,14,8,0
58,598,178,83,83,83,SC20201025,20201025,SC,206,95,9
50,366,83,65,65,64,SD20201025,20201025,SD,,,9
150,1380,415,137,135,135,TN20201025,20201025,TN,343,138,31
637,5311,1548,585,585,585,TX20201025,20201025,TX,1550,,48
47,278,103,58,56,55,UT20201025,20201025,UT,120,,4
65,699,192,107,106,106,VA20201025,20201025,VA,216,109,1
0,2,1,2,2,2,VI20201025,20201025,VI,,,0
1,3,1,17,17,17,VT20201025,20201025,VT,,,0
29,301,84,100,99,97,WA20201025,20201025,WA,101,43,0
334,1387,341,144,142,141,WI20201025,20201025,WI,320,,10
25,258,73,63,63,63,WV20201025,20201025,WV,75,24,1
17,105,26,30,30,30,WY20201025,20201025,WY,,,0
5,51,8,23,23,22,AK20201024,20201024,AK,,8,0
148,938,297,114,114,114,AL20201024,20201024,AL,,,7
97,573,193,105,105,104,AR20201024,20201024,AR,242,94,15
114,584,196,116,115,113,AZ20201024,20201024,AZ,191,87,4
340,2254,625,408,403,401,CA20201024,20201024,CA,744,,49
81,491,174,101,101,98,CO20201024,20201024,CO,,,7
44,250,52,32,31,31,CT20201024,20201024,CT,,,0
14,111,23,14,14,13,DC20201024,20201024,DC,21,6,0
9,129,29,16,16,14,DE20201024,20201024,DE,22,,2
376,2351,522,270,270,270,FL20201024,20201024,FL,,,76
256,1336,433,169,163,163,GA20201024,20201024,GA,,,42
6,66,8,24,24,23,HI20201024,20201024,HI,18,11,3
86,540,119,125,125,125,IA20201024,20201024,IA,130,49,11
29,251,65,51,51,51,ID20201024,20201024,ID,66,,9
289,2054,492,199,198,192,IL20201024,20201024,IL,560,222,63
176,1159,376,159,158,158,IN20201024,20201024,IN,481,152,26
83,451,112,148,144,138,KS20201024,20201024,KS,2,41,0
268,758,249,117,116,116,KY20201024,20201024,KY,208,,8
212,1120,178,205,214,214,LA20201024,20201024,LA,,65,0
65,301,81,103,103,103,MA20201024,20201024,MA,114,45,9
56,435,118,59,58,58,MD20201024,20201024,MD,109,,13
2,11,0,39,39,39,ME20201024,20201024,ME,0,0,0
166,1104,286,156,156,154,MI20201024,20201024,MI,273,121,38
107,597,146,131,131,131,MN20201024,20201024,MN,163,,14
187,1240,416,139,139,139,MO20201024,20201024,MO,522,175,113
78,563,167,106,105,98,MS20201024,20201024,MS,154,65,17
40,334,72,67,67,67,MT20201024,20201024,MT,,,12
169,1074,338,128,127,126,NC20201024,20201024,NC,338,,30
38,292,41,49,49,49,ND20201024,20201024,ND,41,,8
45,406,125,95,95,94,NE20201024,20201024,NE,,,4
2,22,9,30,30,29,NH20201024,20201024,NH,,,2
112,720,141,94,94,94,NJ20201024,20201024,NJ,171,72,8
60,342,118,52,49,49,NM20201024,20201024,NM,,,5
44,450,139,62,62,61,NV20201024,20201024,NV,134,51,5
144,1053,238,178,177,175,NY20201024,20201024,NY,231,113,13
197,1322,375,219,217,216,OH20201024,20201024,OH,383,200,22
205,816,265,152,152,152,OK20201024,20201024,OK,305,,11
17,136,36,63,63,62,OR20201024,20201024,OR,53,21,3
153,1282,340,218,216,213,PA20201024,20201024,PA,,126,29
30,302,35,66,66,66,PR20201024,20201024,PR,60,43,3
8,154,17,15,15,15,RI20201024,20201024,RI,15,9,6
63,594,180,83,83,83,SC20201024,20201024,SC,200,97,16
58,346,70,65,65,64,SD20201024,20201024,SD,,,10
175,1367,432,137,135,135,TN20201024,20201024,TN,403,162,24
772,5221,1547,585,585,585,TX20201024,20201024,TX,1513,,81
50,282,106,59,57,56,UT20201024,20201024,UT,110,,1
91,673,187,108,107,107,VA20201024,20201024,VA,220,117,39
0,3,1,2,2,2,VI20201024,20201024,VI,,,0
1,2,1,17,17,17,VT20201024,20201024,VT,,,0
32,288,84,102,101,99,WA20201024,20201024,WA,114,48,7
329,1323,333,144,142,141,WI20201024,20201024,WI,276,,29
36,261,78,63,63,63,WV20201024,20201024,WV,71,24,0
15,95,24,30,30,30,WY20201024,20201024,WY,,,0
5,57,14,23,23,22,AK20201023,20201023,AK,,7,0
173,905,285,114,114,114,AL20201023,20201023,AL,,,16
82,576,206,105,105,104,AR20201023,20201023,AR,237,92,10
110,572,188,116,115,113,AZ20201023,20201023,AZ,172,85,6
353,2343,649,420,403,400,CA20201023,20201023,CA,754,,73
87,468,167,101,101,98,CO20201023,20201023,CO,,,13
32,242,50,32,31,31,CT20201023,20201023,CT,,,8
13,112,21,14,14,13,DC20201023,20201023,DC,23,8,0
8,129,25,16,16,14,DE20201023,20201023,DE,25,,8
351,2286,514,272,272,272,FL20201023,20201023,FL,,,74
258,1387,429,167,162,162,GA20201023,20201023,GA,,,37
5,64,11,24,24,23,HI20201023,20201023,HI,18,13,3
103,543,130,125,125,125,IA20201023,20201023,IA,134,49,19
45,261,73,51,51,51,ID20201023,20201023,ID,54,,7
285,1960,502,201,200,192,IL20201023,20201023,IL,511,197,41
174,1206,375,160,159,159,IN20201023,20201023,IN,433,152,27
89,444,114,148,144,138,KS20201023,20201023,KS,2,41,23
220,754,227,117,116,116,KY20201023,20201023,KY,205,,16
62,1125,175,205,214,214,LA20201023,20201023,LA,,65,21
60,302,81,103,103,103,MA20201023,20201023,MA,125,43,20
57,448,129,59,58,58,MD20201023,20201023,MD,122,,8
1,9,0,39,39,39,ME20201023,20201023,ME,0,0,0
154,1055,286,156,156,154,MI20201023,20201023,MI,273,121,20
111,587,154,131,131,131,MN20201023,20201023,MN,163,,13
174,1239,429,139,139,139,MO20201023,20201023,MO,215,172,31
80,568,164,107,104,97,MS20201023,20201023,MS,158,70,7
49,354,80,67,67,67,MT20201023,20201023,MT,,,4
145,1105,341,129,127,127,NC20201023,20201023,NC,325,,32
38,295,45,49,49,49,ND20201023,20201023,ND,44,,18
43,408,129,96,96,95,NE20201023,20201023,NE,,,11
4,16,8,30,30,30,NH20201023,20201023,NH,,,1
87,700,141,94,94,94,NJ20201023,20201023,NJ,212,73,10
44,244,86,52,50,50,NM20201023,20201023,NM,,,7
46,463,135,62,62,61,NV20201023,20201023,NV,134,51,2
162,1132,239,179,178,177,NY20201023,20201023,NY,223,109,11
230,1354,363,221,218,217,OH20201023,20201023,OH,370,195,23
184,845,288,153,153,153,OK20201023,20201023,OK,313,,13
19,138,34,64,64,63,OR20201023,20201023,OR,55,21,11
145,1254,318,218,217,213,PA20201023,20201023,PA,,122,33
23,271,44,66,66,66,PR20201023,20201023,PR,51,39,8
17,152,14,15,15,15,RI20201023,20201023,RI,13,9,4
77,597,177,83,83,83,SC20201023,20201023,SC,191,96,22
49,338,71,65,65,64,SD20201023,20201023,SD,,,9
176,1387,428,138,136,135,TN20201023,20201023,TN,414,164,65
782,5028,1521,585,585,584,TX20201023,20201023,TX,1511,,89
35,285,103,59,57,56,UT20201023,20201023,UT,109,,4
69,664,200,108,107,107,VA20201023,20201023,VA,233,113,15
0,3,1,2,2,2,VI20201023,20201023,VI,,,0
1,1,0,17,17,17,VT20201023,20201023,VT,,,0
29,281,90,102,101,99,WA20201023,20201023,WA,103,49,3
335,1335,346,144,143,142,WI20201023,20201023,WI,332,,49
38,250,75,63,63,63,WV20201023,20201023,WV,68,18,4
12,84,19,31,31,31,WY20201023,20201023,WY,,,0
10,60,14,22,22,21,AK20201022,20201022,AK,,5,0
149,875,277,115,115,115,AL20201022,20201022,AL,,,38
81,585,212,105,105,104,AR20201022,20201022,AR,236,91,21
98,544,176,115,114,111,AZ20201022,20201022,AZ,164,92,5
350,2362,665,417,400,397,CA20201022,20201022,CA,758,,162
78,443,162,101,101,98,CO20201022,20201022,CO,,,4
35,242,48,32,31,31,CT20201022,20201022,CT,,,2
8,108,24,14,14,14,DC20201022,20201022,DC,23,9,0
10,134,23,16,16,14,DE20201022,20201022,DE,25,,0
309,2249,519,271,271,271,FL20201022,20201022,FL,,,162
309,1371,412,161,155,155,GA20201022,20201022,GA,,,25
3,73,14,24,24,23,HI20201022,20201022,HI,18,15,14
84,530,134,125,125,125,IA20201022,20201022,IA,135,53,17
30,243,71,51,51,51,ID20201022,20201022,ID,54,,11
258,1821,485,201,199,191,IL20201022,20201022,IL,525,212,42
173,1137,353,160,159,159,IN20201022,20201022,IN,433,143,42
87,429,115,148,144,138,KS20201022,20201022,KS,1,45,0
214,726,222,116,115,115,KY20201022,20201022,KY,214,,17
93,1140,171,205,214,214,LA20201022,20201022,LA,,64,9
78,307,78,103,103,103,MA20201022,20201022,MA,103,38,30
70,470,130,59,58,58,MD20201022,20201022,MD,125,,12
2,7,0,39,39,39,ME20201022,20201022,ME,0,0,0
150,1026,278,156,156,154,MI20201022,20201022,MI,273,112,46
97,584,165,131,131,131,MN20201022,20201022,MN,154,,20
156,1254,442,139,139,139,MO20201022,20201022,MO,240,163,16
77,608,171,106,103,96,MS20201022,20201022,MS,157,68,8
70,363,78,67,67,67,MT20201022,20201022,MT,,,3
147,1094,333,129,128,128,NC20201022,20201022,NC,333,,50
37,294,48,49,49,49,ND20201022,20201022,ND,38,,0
52,395,127,96,96,96,NE20201022,20201022,NE,,,11
0,13,6,30,30,30,NH20201022,20201022,NH,,,1
98,667,139,94,94,94,NJ20201022,20201022,NJ,187,74,18
53,258,94,52,50,50,NM20201022,20201022,NM,,,3
44,455,132,62,62,61,NV20201022,20201022,NV,161,53,4
153,1120,220,179,178,176,NY20201022,20201022,NY,209,106,15
251,1330,351,221,218,217,OH20201022,20201022,OH,345,172,12
232,866,329,152,152,152,OK20201022,20201022,OK,297,,11
24,142,37,64,64,63,OR20201022,20201022,OR,57,21,2
154,1228,291,219,217,213,PA20201022,20201022,PA,,110,30
19,289,48,66,66,66,PR20201022,20201022,PR,53,44,9
8,145,15,15,15,15,RI20201022,20201022,RI,13,8,4
72,598,177,83,83,83,SC20201022,20201022,SC,185,91,47
78,334,74,65,65,64,SD20201022,20201022,SD,,,14
163,1353,418,138,135,135,TN20201022,20201022,TN,388,167,41
764,5071,1516,585,584,584,TX20201022,20201022,TX,1454,,85
50,299,104,58,56,54,UT20201022,20201022,UT,110,,6
64,779,202,108,107,107,VA20201022,20201022,VA,218,120,9
0,3,1,2,2,2,VI20201022,20201022,VI,,,0
0,0,0,17,17,17,VT20201022,20201022,VT,,,0
26,295,83,102,101,99,WA20201022,20201022,WA,92,43,4
341,1333,362,144,143,142,WI20201022,20201022,WI,324,,23
28,233,71,63,63,63,WV20201022,20201022,WV,63,21,5
12,84,18,31,31,31,WY20201022,20201022,WY,,,7
11,51,12,22,22,21,AK20201021,20201021,AK,,8,1
151,874,271,114,115,115,AL20201021,20201021,AL,,,0
91,584,209,104,104,103,AR20201021,20201021,AR,241,94,23
87,520,165,113,112,108,AZ20201021,20201021,AZ,171,91,17
320,2368,665,417,400,397,CA20201021,20201021,CA,763,,35
92,423,147,100,100,97,CO20201021,20201021,CO,,,12
32,232,40,32,31,31,CT20201021,20201021,CT,,,8
13,111,24,14,14,14,DC20201021,20201021,DC,23,9,0
10,137,23,16,16,14,DE20201021,20201021,DE,23,,2
301,2264,516,270,269,268,FL20201021,20201021,FL,,,0
267,1340,406,160,154,154,GA20201021,20201021,GA,,,30
7,78,13,23,23,22,HI20201021,20201021,HI,19,13,2
90,528,133,125,125,125,IA20201021,20201021,IA,134,49,29
47,248,65,51,51,51,ID20201021,20201021,ID,54,,4
283,1804,477,199,196,188,IL20201021,20201021,IL,502,194,68
174,1103,342,157,156,156,IN20201021,20201021,IN,412,141,15
93,413,123,146,142,136,KS20201021,20201021,KS,1,45,80
165,709,229,116,115,115,KY20201021,20201021,KY,203,,21
89,1125,177,205,214,214,LA20201021,20201021,LA,,68,18
61,297,75,103,103,103,MA20201021,20201021,MA,91,36,22
58,443,137,59,58,58,MD20201021,20201021,MD,131,,8
2,7,0,39,39,38,ME20201021,20201021,ME,0,0,0
131,1000,255,156,156,154,MI20201021,20201021,MI,267,112,35
70,583,155,131,131,131,MN20201021,20201021,MN,160,,35
178,1287,463,139,139,139,MO20201021,20201021,MO,450,170,26
95,607,162,105,103,96,MS20201021,20201021,MS,151,73,21
73,356,68,67,67,67,MT20201021,20201021,MT,,,23
131,1090,335,128,127,127,NC20201021,20201021,NC,337,,40
46,301,44,49,49,49,ND20201021,20201021,ND,33,,10
75,398,133,96,96,96,NE20201021,20201021,NE,,,11
3,15,6,30,30,30,NH20201021,20201021,NH,,,1
91,783,129,94,94,94,NJ20201021,20201021,NJ,175,63,18
