timestep,n_Presenting,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_OffVentInICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
99.00,18.10,25.55,24.55,23.00,11.55,18.10,16.00,14.00,14.00,3.00,3.00,3.00,3.00
100.00,15.00,25.00,24.55,22.00,13.00,15.00,15.00,14.55,13.55,3.00,3.00,3.00,2.00
101.00,16.55,25.00,23.55,22.55,12.00,16.55,14.00,14.00,14.10,3.55,2.00,3.55,2.55
102.00,15.55,26.00,24.00,21.55,12.00,15.55,15.00,14.55,13.00,3.00,3.00,3.00,3.00
103.00,16.55,25.00,25.00,21.55,12.00,16.55,14.00,16.00,14.00,3.00,3.00,3.00,3.00
104.00,17.55,26.00,23.10,22.55,11.55,17.55,16.00,14.00,13.00,3.00,4.00,3.00,3.00
105.00,16.00,25.10,24.00,20.55,12.55,16.00,16.55,14.00,12.00,3.00,3.00,3.00,3.00
106.00,16.10,25.55,24.00,21.00,12.55,16.10,14.00,13.00,13.00,3.00,3.00,2.55,3.00
107.00,15.55,26.00,23.10,22.00,12.00,15.55,15.10,13.00,12.00,3.00,3.00,3.00,3.00
108.00,16.00,26.55,22.00,21.00,12.55,16.00,15.00,13.55,12.00,3.00,3.00,3.00,3.00
109.00,15.00,26.55,25.65,23.00,11.00,15.00,15.00,15.00,12.00,3.00,3.00,3.00,2.55
110.00,17.00,25.00,23.55,19.55,12.00,17.00,14.00,13.00,12.00,3.00,4.00,2.00,2.55
111.00,16.00,25.00,22.55,21.00,11.00,16.00,16.00,13.55,12.00,4.00,3.00,3.00,3.00
112.00,16.00,25.55,24.00,21.55,13.10,16.00,14.55,13.00,13.00,3.00,2.55,2.55,3.00
113.00,16.55,24.00,22.00,21.55,12.00,16.55,14.10,14.00,13.55,3.00,3.55,3.00,3.00
114.00,16.00,26.00,22.00,21.55,12.55,16.00,16.55,13.00,12.00,3.55,3.00,3.55,2.00
115.00,16.00,25.10,23.00,20.55,12.00,16.00,14.55,13.00,12.10,3.00,2.55,3.00,3.00
116.00,15.00,27.10,24.10,21.55,10.55,15.00,15.55,13.00,13.00,3.00,3.55,2.55,3.00
117.00,14.00,25.10,25.55,21.10,12.55,14.00,14.00,14.00,14.00,3.00,3.00,2.00,2.55
118.00,17.00,23.00,21.55,21.00,11.00,17.00,13.55,13.00,14.55,3.00,3.00,2.00,3.00
119.00,15.00,25.55,24.00,20.00,12.00,15.00,16.00,14.00,12.00,3.00,2.55,3.00,2.55
120.00,16.00,26.55,22.00,21.55,12.00,16.00,15.00,13.00,13.00,3.00,3.55,3.00,3.00
