timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
94.00,4.00,9.45,9.00,7.00,2.45,4.00,4.00,4.00,2.45,4.00,4.00,4.00,2.45
95.00,3.45,8.45,9.00,6.45,3.00,4.45,4.00,3.00,2.00,4.45,4.00,3.00,2.00
96.00,5.45,9.00,9.00,7.00,2.45,6.00,4.00,3.45,3.00,6.00,4.00,3.45,3.00
97.00,5.00,10.90,8.00,7.45,2.00,5.45,5.00,3.00,3.00,5.45,5.00,3.00,3.00
98.00,5.00,10.45,8.00,7.00,2.00,5.45,6.00,4.45,3.00,5.45,6.00,4.45,3.00
99.00,4.45,10.00,8.45,7.00,3.00,5.45,4.00,3.00,3.00,5.45,4.00,3.00,3.00
100.00,4.45,10.00,9.00,6.45,2.00,5.00,4.45,4.00,3.00,5.00,4.45,4.00,3.00
101.00,4.00,9.45,10.00,7.00,2.00,4.45,4.45,4.00,3.45,4.45,4.45,4.00,3.45
102.00,3.45,10.45,10.00,7.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00
103.00,3.45,9.00,9.00,9.45,1.45,4.00,4.00,4.45,4.00,4.00,4.00,4.45,4.00
104.00,3.45,8.90,9.00,7.45,3.00,4.45,3.45,3.00,3.45,4.45,3.45,3.00,3.45
105.00,5.00,9.00,8.45,9.00,2.00,6.00,4.00,4.00,3.45,6.00,4.00,4.00,3.45
106.00,4.45,10.00,9.00,6.45,3.00,6.00,4.00,4.00,3.00,6.00,4.00,4.00,3.00
107.00,4.45,10.45,8.45,7.00,2.00,5.45,4.45,4.00,2.45,5.45,4.45,4.00,2.45
108.00,6.00,10.00,8.45,7.90,2.00,7.00,4.00,4.00,3.45,7.00,4.00,4.00,3.45
109.00,4.00,11.00,9.00,6.45,2.00,5.45,6.00,3.00,3.00,5.45,6.00,3.00,3.00
110.00,5.00,10.00,10.00,6.45,2.45,5.45,3.45,4.00,3.00,5.45,3.45,4.00,3.00
111.00,6.00,11.00,9.00,7.45,2.00,6.45,4.45,3.00,2.00,6.45,4.45,3.00,2.00
112.00,4.00,10.00,9.00,8.00,2.00,4.45,5.00,4.00,2.00,4.45,5.00,4.00,2.00
113.00,3.45,11.00,9.00,7.45,2.00,4.45,4.00,4.00,4.00,4.45,4.00,4.00,4.00
114.00,4.45,10.00,9.45,7.00,2.00,5.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00
115.00,4.45,10.45,7.00,8.00,2.00,5.00,4.00,3.45,4.00,5.00,4.00,3.45,4.00
116.00,4.45,10.00,8.00,7.45,2.00,5.45,5.45,3.45,2.00,5.45,5.45,3.45,2.00
117.00,4.00,10.45,10.00,6.00,2.00,4.00,5.00,3.45,2.45,4.00,5.00,3.45,2.45
118.00,5.00,10.00,8.00,7.45,1.45,5.45,4.00,3.45,4.00,5.45,4.00,3.45,4.00
119.00,3.45,10.45,8.00,7.00,2.45,4.00,5.00,4.00,3.00,4.00,5.00,4.00,3.00
120.00,5.00,9.00,9.45,7.45,3.00,6.00,3.45,4.00,4.00,6.00,3.45,4.00,4.00
